model,bytesize,tokens,split,vocab_size
pre,43438624,11379062,test,16k
suf,43495856,11595187,test,16k
wsonly,43438624,18341653,test,16k
both-single,43471620,14586957,test,16k
pre,7809333,2106822,wood,16k
suf,7819924,2141476,wood,16k
wsonly,7810175,3378081,wood,16k
both-single,7815742,2635924,wood,16k
pre,29723538,8068341,stats,16k
suf,29760490,8138900,stats,16k
wsonly,29724104,12451614,stats,16k
both-single,29746244,10072988,stats,16k
pre,107703856,30145019,java,16k
suf,107825640,30339520,java,16k
wsonly,107706032,44276052,java,16k
both-single,107778920,37413160,java,16k
pre,43438428,12271472,test,8k
suf,43495456,12584392,test,8k
wsonly,43438600,19146708,test,8k
both-single,43472120,15888728,test,8k
pre,7809617,2273805,wood,8k
suf,7820060,2319618,wood,8k
wsonly,7810093,3517996,wood,8k
both-single,7815981,2865527,wood,8k
pre,29724002,8719174,stats,8k
suf,29760684,8859070,stats,8k
wsonly,29724424,13052255,stats,8k
both-single,29746056,10935762,stats,8k
pre,107705160,32823763,java,8k
suf,107828224,33323160,java,8k
wsonly,107704192,46786880,java,8k
both-single,107779304,40799569,java,8k
pre,43438260,10786755,test,32k
suf,43495192,10909718,test,32k
wsonly,43438208,17830677,test,32k
both-single,43472236,13381561,test,32k
pre,7809228,1999970,wood,32k
suf,7819748,2015491,wood,32k
wsonly,7809851,3287768,wood,32k
both-single,7815703,2422881,wood,32k
pre,29723922,7678518,stats,32k
suf,29760240,7672611,stats,32k
wsonly,29724140,12114079,stats,32k
both-single,29746492,9316941,stats,32k
pre,107704768,28258490,java,32k
suf,107826480,28210899,java,32k
wsonly,107704840,42690749,java,32k
both-single,107779240,34380763,java,32k
both-double,51153340,12997935,test,8k
both-double,9247568,2413439,wood,8k
both-double,34851388,9344183,stats,8k
both-double,124903584,35233208,java,8k
both-double,51153884,11935081,test,16k
both-double,9247236,2220087,wood,16k
both-double,34851184,8565717,stats,16k
both-double,124906280,32050396,java,16k
both-double,51153344,11178002,test,32k
both-double,9247215,2075993,wood,32k
both-double,34851156,8059983,stats,32k
both-double,124904456,29781893,java,32k